index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
272371,415,7,01/03/2015,0,0,0,0,0,0.0
558468,27,7,29/12/2013,0,0,0,0,0,0.0
76950,404,3,19/03/2014,657,1,1,0,0,6999.923382496287
77556,683,2,29/01/2013,862,1,0,0,0,6596.85464479716
456344,920,3,19/03/2014,591,1,1,0,0,6601.090563030681
436466,758,4,26/06/2014,569,1,0,0,0,5197.608889709751
646251,563,1,16/02/2015,321,1,1,0,0,5098.1902278697235
650464,930,6,22/11/2014,1367,1,0,0,0,10216.825041714474
162710,756,4,04/06/2015,0,0,1,a,0,0.0
100327,49,2,13/01/2015,546,1,1,0,0,6413.479753989144
374540,787,4,23/07/2015,968,1,0,0,1,7891.408537655603
399143,782,4,19/09/2013,472,1,0,0,0,4550.545899431396
44740,897,7,20/04/2014,0,0,0,0,0,0.0
674144,933,1,09/12/2013,965,1,0,0,0,7637.9353658485925
81595,218,2,07/04/2015,804,1,0,0,1,6758.1017648447305
416724,554,3,09/10/2013,499,1,1,0,1,6215.180749574676
632687,362,1,12/08/2013,1337,1,1,0,1,11202.195898086648
351899,655,3,09/04/2014,560,1,0,0,0,5040.086073888815
515940,785,3,31/12/2014,461,1,0,0,1,4867.2659069565125
567411,690,3,19/03/2014,866,1,1,0,0,8262.893977470696
274598,1103,7,15/02/2015,0,0,0,0,0,0.0
417880,431,1,02/06/2014,1367,1,1,0,0,11389.46260919422
453710,127,2,24/09/2013,642,1,1,0,0,6985.410911878804
597622,579,5,29/03/2013,0,0,1,b,1,0.0
223346,248,6,03/08/2013,1139,1,0,0,0,8519.787490561663
630018,962,6,11/01/2014,0,0,0,0,0,0.0
355860,224,2,26/03/2013,515,1,1,0,1,6051.041353841312
360080,208,3,19/06/2013,355,1,1,0,1,5196.33059333032
129544,401,1,30/03/2015,1063,1,1,0,0,9640.806695393927
422545,503,7,29/09/2013,0,0,0,0,0,0.0
174199,221,4,05/03/2015,562,1,1,0,0,6580.573710537574
118613,268,7,02/11/2014,0,0,0,0,0,0.0
60310,799,2,27/08/2013,927,1,1,0,1,8744.235666087246
328458,260,6,25/10/2014,894,1,0,0,0,7322.0103902668925
200661,1041,2,10/03/2015,594,1,0,0,0,5379.470566444041
179581,350,2,18/06/2013,533,1,1,0,0,6197.556545884698
587612,286,7,05/04/2015,0,0,0,0,0,0.0
320169,620,2,04/06/2013,709,1,1,0,0,7242.782317626115
37194,521,1,17/06/2013,484,1,1,0,0,5900.144219646114
685427,649,4,27/11/2014,435,1,1,0,0,5992.390553387464
125422,1059,2,02/06/2015,1239,1,1,0,0,10789.02494100295
24499,486,6,28/06/2014,373,1,0,0,0,4015.81461911276
281806,252,4,17/10/2013,642,1,0,0,0,5615.66450663429
540511,656,3,15/05/2013,421,1,1,0,0,5476.3815241266275
28689,642,5,12/09/2014,394,1,0,0,0,4243.09009984287
165066,655,5,08/05/2015,761,1,1,0,0,7867.923199198674
555963,992,3,26/06/2013,627,1,0,0,0,5375.042052407109
610614,143,2,02/06/2015,731,1,1,0,0,7719.220815419103
64013,421,5,18/07/2014,941,1,1,0,1,8949.670004572661
30639,246,4,02/10/2014,1157,1,1,0,0,10282.210275869875
418604,960,1,28/04/2014,720,1,1,0,0,7432.850284765882
468037,313,5,17/01/2014,697,1,0,0,0,5757.118812130415
271589,291,6,29/06/2013,534,1,0,0,0,4816.977869429684
77924,924,6,31/05/2014,333,1,0,0,0,3737.5849802198936
247149,337,2,13/08/2013,430,1,1,0,1,5722.575263580831
576822,1024,4,12/03/2015,607,1,0,0,0,5460.646890821517
108538,56,3,22/01/2014,402,1,1,0,0,5382.025323797367
645670,507,3,09/04/2014,532,1,0,0,0,4870.884271691262
601663,970,5,15/03/2013,406,1,0,0,0,3903.834615658503
502588,846,2,23/06/2015,828,1,0,0,0,6931.854327570065
66732,549,3,27/08/2014,582,1,0,0,0,5358.356633272953
627113,1095,4,28/03/2013,852,1,1,0,1,8090.124246504565
691184,859,5,12/04/2013,709,1,1,0,0,7172.375105190498
467913,914,2,29/07/2014,1178,1,1,0,1,10396.243298066314
304890,888,2,23/06/2015,634,1,0,0,0,5759.5275552014355
274018,442,2,04/11/2014,517,1,1,0,0,6457.799151929852
644430,34,6,09/03/2013,905,1,0,0,0,6911.397413321596
669009,199,4,10/07/2014,581,1,0,0,0,5289.617485297727
518722,854,4,04/06/2015,657,1,1,a,0,5624.909439856361
505976,611,2,21/01/2014,485,1,1,0,0,5882.278636489995
291572,808,4,09/04/2015,528,1,0,0,1,5092.873773683386
39071,1105,4,22/01/2015,410,1,0,0,0,4202.402486281819
319154,866,5,24/04/2015,445,1,0,0,0,4537.843971182359
166603,222,6,28/09/2013,367,1,0,0,0,3927.8216927265166
428262,476,2,24/09/2013,753,1,1,0,0,7656.175199161924
20314,800,1,26/05/2014,494,1,0,0,0,4703.949480891344
603091,330,1,24/03/2014,408,1,0,0,0,4100.75929492031
500421,507,3,07/01/2015,648,1,1,0,0,7022.0027133515105
388016,98,7,02/06/2013,0,0,0,0,0,0.0
268257,1026,2,28/01/2014,1044,1,0,0,0,7868.4134714000975
216326,990,5,04/10/2013,719,1,0,0,0,6063.9502215701505
40755,8,6,10/01/2015,345,1,0,0,0,3793.9025196087896
8654,611,3,31/07/2013,566,1,1,0,1,6527.537395822699
37301,257,2,13/08/2013,777,1,1,0,0,7746.364123220264
